Service,Category,Endpoint,Method,Authorization,Request Body (Example),Response Body (Example)
Identity Service,Authentication,/api/auth/login,POST,None,"{""email"": ""admin@company.com"", ""password"": ""SecurePass@123"", ""tenantId"": ""3fa85f64-5717-4562-b3fc-2c963f66afa6""}","{""accessToken"": ""jwt_token..."", ""refreshToken"": ""refresh_token..."", ""expiresAt"": ""2026-01-13T14:30:00Z"", ""user"": {""id"": ""guid"", ""email"": ""admin@company.com"", ""firstName"": ""Admin"", ""lastName"": ""User"", ""roles"": [""SuperAdmin""]}}"
Identity Service,Authentication,/api/auth/register,POST,Bearer (SuperAdmin/TenantAdmin),"{""email"": ""newuser@company.com"", ""password"": ""SecurePass@123"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""phoneNumber"": ""+91-9876543210"", ""tenantId"": ""3fa85f64-5717-4562-b3fc-2c963f66afa6"", ""roleIds"": [""3fa85f64-5717-4562-b3fc-2c963f66afa6""]}","{""id"": ""guid"", ""email"": ""newuser@company.com"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""phoneNumber"": ""+91-9876543210"", ""isActive"": true, ""roles"": [""HR""], ""createdAt"": ""2026-01-13T10:30:00Z""}"
Identity Service,Authentication,/api/auth/refresh-token,POST,None,"{""accessToken"": ""expired_jwt_token..."", ""refreshToken"": ""refresh_token_string...""}","{""accessToken"": ""new_jwt_token..."", ""refreshToken"": ""new_refresh_token..."", ""expiresAt"": ""2026-01-13T14:30:00Z""}"
Identity Service,Authentication,/api/auth/logout,POST,Bearer,{},"{""message"": ""Logged out successfully"", ""timestamp"": ""2026-01-13T13:15:00Z""}"
Identity Service,Tenant,/api/tenant,POST,None,"{""name"": ""ACME Corporation"", ""companyName"": ""ACME Corp Pvt Ltd"", ""domain"": ""acme.hrms.local"", ""contactEmail"": ""contact@acme.com"", ""countryId"": ""00000000-0000-0000-0000-000000000200"", ""subscriptionPlanId"": ""00000000-0000-0000-0000-000000000010"", ""adminEmail"": ""admin@acme.com"", ""adminFirstName"": ""Admin"", ""adminLastName"": ""User"", ""adminPassword"": ""Admin@123""}","{""tenantId"": ""guid"", ""tenantName"": ""ACME Corp Pvt Ltd"", ""adminEmail"": ""admin@acme.com"", ""adminUserId"": ""guid"", ""message"": ""Tenant created successfully""}"
Identity Service,Tenant,/api/tenant/countries,GET,None,?onlyActive=true,"[{""id"": ""guid"", ""code"": ""IN"", ""name"": ""India"", ""phoneCode"": ""+91"", ""currencyCode"": ""INR"", ""requiredStatutoryFields"": {""pan"": true, ""aadhaar"": true}, ""requiredBankFields"": {""bankName"": true, ""ifscCode"": true}}]"
Employee Service,Employee,/api/employee,GET,Bearer,None,"[{""id"": ""guid"", ""tenantId"": ""guid"", ""employeeCode"": ""EMP001"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""email"": ""john@company.com"", ""dateOfBirth"": ""1990-01-15"", ""gender"": 1, ""dateOfJoining"": ""2024-01-01"", ""employmentType"": 1}]"
Employee Service,Employee,/api/employee/{id},GET,Bearer,None,"{""id"": ""guid"", ""employeeCode"": ""EMP001"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""email"": ""john@company.com"", ""dateOfBirth"": ""1990-01-15""}"
Employee Service,Employee,/api/employee,POST,Bearer,"{""employeeCode"": ""EMP001"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""email"": ""john@company.com"", ""dateOfBirth"": ""1990-01-15"", ""gender"": 1, ""dateOfJoining"": ""2024-01-01"", ""employmentType"": 1, ""departmentId"": ""guid"", ""designationId"": ""guid"", ""locationId"": ""guid""}","{""id"": ""guid"", ""employeeCode"": ""EMP001"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""email"": ""john@company.com"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
Employee Service,Employee,/api/employee/{id},PUT,Bearer,"{""id"": ""guid"", ""firstName"": ""Jane"", ""lastName"": ""Smith"", ""email"": ""jane.smith@company.com""}","{""id"": ""guid"", ""employeeCode"": ""EMP001"", ""firstName"": ""Jane"", ""lastName"": ""Smith"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
Employee Service,Employee,/api/employee/{id},DELETE,Bearer,None,"{""message"": ""Employee deleted successfully""}"
MasterData Service,Company,/api/company,GET,Bearer,"{""code"": ""ACME"", ""name"": ""ACME Corporation"", ""legalName"": ""ACME Corporation Pvt Ltd"", ""registrationNumber"": ""CIN123456789"", ""taxId"": ""GST29AAACR5055K1Z5"", ""address"": ""123 Business Park, MG Road"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""postalCode"": ""560001"", ""phone"": ""+91-80-12345678"", ""email"": ""info@acme.com"", ""website"": ""https://www.acme.com"", ""logo"": ""https://www.acme.com/logo.png""}","{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation"", ""legalName"": ""ACME Corporation Pvt Ltd"", ""registrationNumber"": ""CIN123456789"", ""taxId"": ""GST29AAACR5055K1Z5"", ""address"": ""123 Business Park, MG Road"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""postalCode"": ""560001"", ""phone"": ""+91-80-12345678"", ""email"": ""info@acme.com"", ""website"": ""https://www.acme.com"", ""logo"": ""https://www.acme.com/logo.png"", ""isActive"": true, ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Company,/api/company/{id},GET,Bearer,"{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation Updated"", ""legalName"": ""ACME Corp Pvt Ltd"", ""registrationNumber"": ""CIN123456789"", ""taxId"": ""GST29AAACR5055K1Z5"", ""address"": ""456 New Address"", ""city"": ""Mumbai"", ""state"": ""Maharashtra"", ""country"": ""India"", ""postalCode"": ""400001"", ""phone"": ""+91-22-87654321"", ""email"": ""contact@acme.com"", ""website"": ""https://www.acme.in"", ""logo"": ""https://www.acme.in/new-logo.png"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation Updated"", ""legalName"": ""ACME Corp Pvt Ltd"", ""registrationNumber"": ""CIN123456789"", ""taxId"": ""GST29AAACR5055K1Z5"", ""address"": ""456 New Address"", ""city"": ""Mumbai"", ""state"": ""Maharashtra"", ""country"": ""India"", ""postalCode"": ""400001"", ""phone"": ""+91-22-87654321"", ""email"": ""contact@acme.com"", ""website"": ""https://www.acme.in"", ""logo"": ""https://www.acme.in/new-logo.png"", ""isActive"": true, ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Company,/api/company,POST,Bearer,"{""code"": ""ACME"", ""name"": ""ACME Corporation"", ""description"": ""ACME Corp Pvt Ltd"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corporation"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Company,/api/company/{id},PUT,Bearer,"{""id"": ""guid"", ""name"": ""ACME Corp Updated"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""ACME"", ""name"": ""ACME Corp Updated"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Company,/api/company/{id},DELETE,Bearer,None,"{""message"": ""Company deleted successfully""}"
MasterData Service,Location,/api/location,GET,Bearer,?isActive=true,"[{""id"": ""guid"", ""code"": ""BLR"", ""name"": ""Bangalore"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""isActive"": true}]"
MasterData Service,Location,/api/location,POST,Bearer,"{""code"": ""BLR"", ""name"": ""Bangalore"", ""city"": ""Bangalore"", ""state"": ""Karnataka"", ""country"": ""India"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""BLR"", ""name"": ""Bangalore"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Location,/api/location/{id},PUT,Bearer,"{""id"": ""guid"", ""name"": ""Bengaluru""}","{""id"": ""guid"", ""code"": ""BLR"", ""name"": ""Bengaluru"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Location,/api/location/{id},DELETE,Bearer,None,"{""message"": ""Location deleted successfully""}"
MasterData Service,Department,/api/department,GET,Bearer,?isActive=true&companyId=guid,"[{""id"": ""guid"", ""code"": ""IT"", ""name"": ""Information Technology"", ""description"": ""IT Department"", ""companyId"": ""guid"", ""isActive"": true}]"
MasterData Service,Department,/api/department,POST,Bearer,"{""code"": ""IT"", ""name"": ""Information Technology"", ""description"": ""IT Department"", ""companyId"": ""guid"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""IT"", ""name"": ""Information Technology"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Department,/api/department/{id},PUT,Bearer,"{""id"": ""guid"", ""name"": ""Information Tech""}","{""id"": ""guid"", ""code"": ""IT"", ""name"": ""Information Tech"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Department,/api/department/{id},DELETE,Bearer,None,"{""message"": ""Department deleted successfully""}"
MasterData Service,Division,/api/division,GET,Bearer,?isActive=true&companyId=guid,"[{""id"": ""guid"", ""code"": ""INP"", ""name"": ""India Products"", ""description"": ""Products Division India"", ""companyId"": ""guid"", ""isActive"": true}]"
MasterData Service,Division,/api/division,POST,Bearer,"{""code"": ""INP"", ""name"": ""India Products"", ""description"": ""Products Division India"", ""companyId"": ""guid"", ""isActive"": true}","{""id"": ""guid"", ""code"": ""INP"", ""name"": ""India Products"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Division,/api/division/{id},PUT,Bearer,"{""id"": ""guid"", ""name"": ""India Products Division""}","{""id"": ""guid"", ""code"": ""INP"", ""name"": ""India Products Division"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
MasterData Service,Division,/api/division/{id},DELETE,Bearer,None,"{""message"": ""Division deleted successfully""}"
MasterData Service,Designation,/api/designation,GET,Bearer,?isActive=true&level=3,"[{""id"": ""guid"", ""code"": ""SD"", ""name"": ""Senior Developer"", ""description"": ""Senior Level Developer"", ""level"": 3, ""isActive"": true}]"
MasterData Service,Designation,/api/designation,POST,Bearer,"{""code"": ""SD"", ""name"": ""Senior Developer"", ""description"": ""Senior Level Developer"", ""level"": 3, ""isActive"": true}","{""id"": ""guid"", ""code"": ""SD"", ""name"": ""Senior Developer"", ""createdAt"": ""2026-01-13T10:30:00Z""}"
MasterData Service,Designation,/api/designation/{id},PUT,Bearer,"{""id"": ""guid"", ""name"": ""Lead Developer""}","{""id"": ""guid"", ""code"": ""SD"", ""name"": ""Lead Developer"", ""updatedAt"": ""2026-01-13T11:30:00Z""}"
